price,Actual Price,area,status,bhk,bathroom,age,location,builder
37.49,3749000,872,Ready to move,2,,1,Sembakkam,MP Developers
93.54,9354000,1346,Under Construction,3,2,,Selaiyur,DAC Promoters
151,15100000,2225,Under Construction,3,,0,Mogappair,Casagrand Builder Private Limited
49,4900000,1028,Ready to move,2,2,3,Ambattur,Dugar Housing Builders
42.28,4228000,588,Under Construction,2,1,0,Pallavaram,Radiance Realty Developers India Ltd
188,18800000,2221,Under Construction,3,3,0,Virugambakkam,Traventure Homes Pvt Ltd
38,3800000,885,Under Construction,3,,0,Thirumazhisai,Urbanrise
72.99,7299000,936,Ready to move,3,,6,Moolakadai,Navin Housing Properties P LTD
125,12500000,2275,Ready to move,4,,1,Ottiyambakkam,Jones foundation private limited
24.56,2456000,622,Under Construction,2,,0,Perungalathur,Isha Homes
67.87,6787000,1305,Under Construction,3,,0,Gerugambakkam,Kochar Homes Pvt Ltd
240,24000000,1500,Ready to move,3,3,1,Anna Nagar,Pushkar Properties Pvt Ltd
407,40700000,2200,Under Construction,3,,0,Gopalapuram,Pushkar Properties Pvt Ltd
51.46,5146000,919,Under Construction,2,,0,Pammal,Asset Tree Homes
69.47,6947000,965,Under Construction,2,,0,Porur,Urban Tree Infrastructures
113,11300000,2343,Ready to move,4,4,5,Navallur,Olympia Group
18,1800000,353,Under Construction,1,,0,Thirumazhisai,Vijay Raja Homes Private Limited
224,22400000,1450,Under Construction,3,,0,Anna Nagar,Kamalam Builder Pvt Ltd
100,10000000,1833,Ready to move,3,,,Sholinganallur,Appaswamy Real Estate
45.99,4599000,920,Under Construction,2,,0,Vanagaram,VNR Homes
73.75,7375000,1405,Under Construction,3,,0,Sholinganallur,PS Srijan Developers
455,45500000,2601,Under Construction,4,,0,T Nagar,Lifestyle Housing
391,39100000,2475,Under Construction,4,,0,Guindy,Puravankara Limited
80.73,8073000,1242,Under Construction,2,,0,Madipakkam,Jones Foundations
31.96,3196000,969,Ready to move,2,,1,Perumbakkam,Plaza Group
81.3,8130000,937,Under Construction,2,,0,Velachery,Urbando Housing LLP
72.05,7205000,1310,Under Construction,3,,0,Medavakkam,EK Realtors
91.36,9136000,1340,Ready to move,3,,2,Gowrivakkam,The Nest Builder
50.76,5076000,1045,Ready to move,2,2,1,Chromepet,Doshi Housing
62.75,6275000,1004,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
57.5,5750000,920,Under Construction,2,1,0,Ambattur,vinoth builders
50.22,5022000,1005,Ready to move,2,,1,Thalambur,GTK Foundations
22.36,2236000,713,Under Construction,2,,0,Thandalam,Baashyaam Group
19.8,1980000,900,Ready to move,2,,1,Thirumazhisai,chris
84.13,8413000,1325,Under Construction,2,,0,Medavakkam,Krishna Constructions
58.43,5843000,1113,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
330,33000000,3670,Ready to move,3,,3,Kanathur Reddikuppam,Mayances Construction and Engineering Services
80.32,8032000,1208,Ready to move,2,,4,Madipakkam,Ramaniyam Real Estate Builders
290,29000000,1600,Under Construction,3,,0,Adyar,India Builders Limited
40.02,4002000,870,Ready to move,2,,3,Kolapakkam,Ram
42.07,4207000,1275,Under Construction,3,,0,Thaiyur,Shatapatri Estates Pvt Ltd
48.61,4861000,884,Ready to move,2,,1,Thoraipakkam OMR,Shri Raman Developers
49.12,4912000,1092,Under Construction,2,,0,Poonamallee,Sri Hari Developers
42.28,4228000,588,Under Construction,2,1,0,Pallavaram,Radiance Realty Developers
50.21,5021000,1152,Ready to move,2,3,1,Padur,Pacifica Companies
40.75,4075000,910,Under Construction,2,,0,Perumbakkam,BSCPL Infrastructure Ltd
261,26100000,1548,Ready to move,3,,1,Adyar,Khurinji Homes
47.04,4704000,920,Under Construction,2,2,0,Perumbakkam,Saradeuz Realty Constructions
45.79,4579000,669,Ready to move,2,,1,East Tambaram,VGK Builders Pvt Ltd
33.77,3377000,866,Under Construction,2,,0,Chromepet,Amarprakash Developers Pvt Ltd
65.69,6569000,1381,Ready to move,3,,,Tiruvottiyur,Hansa Estates
118,11800000,1740,Ready to move,3,,4,Iyappanthangal,Prince Foundations Ltd
50.31,5031000,1450,Ready to move,3,,1,Padappai,Budget Housing And Properties
78.71,7871000,1212,Under Construction,2,,0,Porur,SP Homes Pvt Ltd
29.62,2962000,528,Ready to move,2,,1,Pammal,Bharathi Construction
88.27,8827000,1605,Under Construction,3,,0,Mugalivakkam,Karuppaswamy Builders
43.44,4344000,932,Under Construction,2,2,0,Pammal,Merlin Group
33.05,3305000,1002,Ready to move,2,,3,Kelambakkam,Advaita Homes
29.56,2956000,768,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers
88.39,8839000,1637,Ready to move,3,,1,Poonamallee,Poojaa Foundation
658,65800000,6103,Ready to move,4,,5,Sholinganallur,Prestige Estates Projects Ltd
33.23,3323000,773,Ready to move,2,,1,Sembakkam,MP Developers
84.79,8479000,1220,Under Construction,3,3,,Selaiyur,DAC Promoters
134,13400000,1974,Under Construction,3,,0,Mogappair,Casagrand Builder Private Limited
67,6700000,1195,Ready to move,3,,3,Ambattur,Dugar Housing Builders
71.08,7108000,1021,Under Construction,2,1,0,Pallavaram,Radiance Realty Developers India Ltd
188,18800000,2221,Under Construction,3,3,0,Virugambakkam,Traventure Homes Pvt Ltd
31,3100000,730,Under Construction,2,,0,Thirumazhisai,Urbanrise
83.03,8303000,1101,Ready to move,3,,6,Moolakadai,Navin Housing Properties P LTD
146,14600000,2669,Ready to move,4,,1,Ottiyambakkam,Jones foundation private limited
20.14,2014000,510,Under Construction,1,,0,Perungalathur,Isha Homes
76.2,7620000,1480,Under Construction,3,,0,Gerugambakkam,Kochar Homes Pvt Ltd
240,24000000,1500,Under Construction,3,,0,Anna Nagar,Pushkar Properties Pvt Ltd
51.46,5146000,919,Under Construction,2,,0,Pammal,Asset Tree Homes
66.44,6644000,923,Under Construction,2,2,0,Porur,Urban Tree Infrastructures
112,11200000,2323,Ready to move,4,,5,Navallur,Olympia Group
29,2900000,544,Under Construction,1,,0,Thirumazhisai,Vijay Raja Homes Private Limited
158,15800000,1025,Under Construction,2,,0,Anna Nagar,Kamalam Builder Pvt Ltd
108,10800000,1972,Ready to move,3,,,Sholinganallur,Appaswamy Real Estate
45.99,4599000,920,Under Construction,2,,0,Vanagaram,VNR Homes
73.99,7399000,1410,Under Construction,3,,0,Sholinganallur,PS Srijan Developers
644,64400000,3681,Under Construction,4,4,0,T Nagar,Lifestyle Housing
593,59300000,3750,Under Construction,5,,0,Guindy,Puravankara Limited
89.7,8970000,1380,Under Construction,3,,0,Madipakkam,Jones Foundations
39.75,3975000,1205,Ready to move,3,2,1,Perumbakkam,Plaza Group
81.7,8170000,942,Under Construction,2,,0,Velachery,Urbando Housing LLP
51.64,5164000,939,Under Construction,2,,0,Medavakkam,EK Realtors
64.34,6434000,945,Ready to move,2,,2,Gowrivakkam,The Nest Builder
37.4,3740000,770,Ready to move,2,,1,Chromepet,Doshi Housing
62.75,6275000,1004,Under Construction,2,,0,Sholinganallur,Grandstyle constructions
89.37,8937000,1430,Under Construction,3,,0,Ambattur,vinoth builders
64.82,6482000,1297,Ready to move,3,,1,Thalambur,GTK Foundations
20.88,2088000,663,Under Construction,2,,0,Thandalam,Baashyaam Group
19.8,1980000,900,Ready to move,2,,1,Thirumazhisai,chris
84.13,8413000,1325,Under Construction,2,,0,Medavakkam,Krishna Constructions
54.96,5496000,1047,Under Construction,2,,0,Ayanambakkam,AKS Housing Dedvelopment Pvt Ltd
440,44000000,4896,Ready to move,4,,3,Kanathur Reddikuppam,Mayances Construction and Engineering Services
96.32,9632000,1481,Ready to move,3,,4,Madipakkam,Ramaniyam Real Estate Builders
242,24200000,1565,Ready to move,3,,2,Anna Nagar,India Builders Limited
48.53,4853000,1055,Ready to move,2,,3,Kolapakkam,Ram
79.92,7992000,1150,Under Construction,2,2,,Selaiyur,DAC Promoters
71.65,7165000,1031,Under Construction,2,2,,Selaiyur,DAC Promoters
58.48,5848000,951,Under Construction,2,,0,Chromepet,DAC Promoters
